tag,seed,n_samples,inter_q45_q12,ci_lo_q45,ci_hi_q45,sig_q45,inter_high50_low50,ci_lo_h50,ci_hi_h50,sig_h50,low_mse_delta,high_mse_delta
AAPL,2021,479,0.0044463318768033664,-0.0011695286010377454,0.010499540878422775,False,0.0007896849988061572,-0.004774201275977051,0.006013452095051569,False,-0.00261583237031481,0.0018304995064885564
AAPL,2022,479,0.00010950133950998796,-0.006151978713354033,0.006910850070568156,False,-0.0030642104246627446,-0.008904020687955436,0.002718647973554745,False,-0.0030759860720416168,-0.002966484732531629
AAPL,2023,479,0.015097579780030259,0.00806813111332618,0.02219057910754988,True,0.010431433027116138,0.004254381018146802,0.01674169359206013,True,-0.0012322839572242114,0.013865295822806047
MSFT,2021,479,-0.02836149651450043,-0.034202460459703536,-0.022719514075717664,True,-0.02313712228110139,-0.028332101033253596,-0.01835830621040909,True,0.013895053748560718,-0.014466442765939709
MSFT,2022,479,-0.035263604052057196,-0.043810719694312855,-0.027102185291493473,True,-0.02883892877722575,-0.035963635093671974,-0.021840765334916683,True,0.01375545575529423,-0.021508148296762963
MSFT,2023,479,-0.00974461123654767,-0.013135699595600783,-0.0063611966193334825,True,-0.008221347224277422,-0.011072605743754528,-0.005422059970988967,True,0.009868149448749598,0.00012353821220192676
AMZN,2021,479,-0.017387412411485635,-0.021710280489032296,-0.013288960301800792,True,-0.017069473775508586,-0.02101878080987158,-0.013047426345775461,True,0.011024136862125819,-0.006363275549359815
AMZN,2022,479,-0.02967554638817395,-0.03640498923407832,-0.02283851096653884,True,-0.026725721694420973,-0.03325310172700946,-0.02050105030865853,True,0.016731458639576983,-0.012944087748596964
AMZN,2023,479,-0.012971303235618447,-0.016483313982372565,-0.009411349958929952,True,-0.012202291380701478,-0.01549746963567003,-0.00884258896896149,True,0.010446390761561175,-0.002524912474057271
META,2021,479,-0.030720601426230364,-0.07948969384365058,0.014349615252857323,False,-0.010412807812743168,-0.05222267104481844,0.030486259880580558,False,0.022122566281309774,-0.008598035144920588
META,2022,479,-0.09996562462383932,-0.1549141780141334,-0.046384456710841335,True,-0.07990319622130312,-0.1277703408710199,-0.03254166673525162,True,0.03032278976760432,-0.069642834856235
META,2023,479,-0.11598722867192868,-0.18076524669703492,-0.05398743512819329,True,-0.09601240562706727,-0.1479421268047621,-0.04485262468399871,True,-0.015142656010515919,-0.1311298846824446
TSLA,2021,479,0.016551714230387645,-0.00739801111045074,0.038778316277271,False,0.011300907784155172,-0.009616474716252979,0.030883455955506612,False,-0.02821265262653851,-0.011660938396150865
TSLA,2022,479,0.008356819004120969,-0.0073302342453779624,0.02366544539611022,False,0.006652365119170044,-0.00759871917426218,0.020949792765365727,False,-0.014081837305472219,-0.0057250183013512505
TSLA,2023,479,0.02142365426372047,-0.004220476593315724,0.045738563442814816,False,0.01974987719107455,-0.0026304543774445482,0.04226115606826183,False,-0.03378928358463206,-0.012365629320911592
