width,params,mean_dMSE,states_pref_nonlin,states_total,mean_winN,frac_pref_nonlin
64,26200,-0.015209457558323706,69,153,0.5104864577513284,0.451
128,52376,-0.02605183845981016,115,153,0.6339866596890046,0.752
