width,asset,seed,state,n,params_L,params_N,MSE_L,MSE_N,MSPE_L,MSPE_N,P95_L,P95_N,dMSE,ci_lo,ci_hi,sig,winN
23,GSPC,2021,acf1_hi,303,9240,9431,0.0814691036939621,0.10511651635169983,0.0016950482710680142,0.002212700761904936,0.263771116733551,0.4442487061023712,0.023647408932447433,0.018176211044192314,0.029214946553111076,sig,0.3234323432343234
23,GSPC,2021,acf1_lo,176,9240,9431,0.13412609696388245,0.15357787907123566,0.0021786200758694293,0.002508363033961437,0.3047691881656647,0.4047010838985443,0.01945178210735321,0.010725906118750572,0.02793114259839058,sig,0.23295454545454544
23,GSPC,2021,sign_persistence_hi,331,9240,9431,0.07521414756774902,0.09118946641683578,0.0013659543589872201,0.0016836139991882506,0.1525433361530304,0.20339888334274292,0.01597532443702221,0.01330718956887722,0.018844271078705788,sig,0.2628398791540785
23,GSPC,2021,sign_persistence_lo,148,9240,9431,0.15807737410068512,0.1938939243555069,0.0030061207206882297,0.0037475945344803887,0.3279825448989868,0.47165775299072266,0.035816535353660583,0.021546771749854088,0.049332454800605774,sig,0.35135135135135137
23,GSPC,2021,jump_ratio_hi,150,9240,9431,0.1515498161315918,0.17575126886367798,0.0025454574910096788,0.0029708310435444347,0.32146698236465454,0.40316808223724365,0.024201471358537674,0.01421493012458086,0.03410497307777405,sig,0.26
23,GSPC,2021,jump_ratio_lo,329,9240,9431,0.07768650352954865,0.09883683174848557,0.001566012570927587,0.002025214493321408,0.25344932079315186,0.4133429229259491,0.02115033194422722,0.016123881563544273,0.02654440887272358,sig,0.303951367781155
23,GSPC,2021,rv_rel_hi,288,9240,9431,0.12656961381435394,0.1528729498386383,0.0023594324528350033,0.002889849815987912,0.28756341338157654,0.44848960638046265,0.02630334161221981,0.01866425760090351,0.03408174216747284,sig,0.3506944444444444
23,GSPC,2021,rv_rel_lo,171,9240,9431,0.05506109446287155,0.06621316075325012,0.0009178012788033485,0.0011181202701874592,0.13962049782276154,0.17773330211639404,0.01115206629037857,0.008839961141347885,0.013771277852356434,sig,0.2222222222222222
23,GSPC,2021,structure_strong,212,9240,9431,0.06437409669160843,0.07777369022369385,0.0012466945519461487,0.0015460406868116473,0.13138428330421448,0.1838456094264984,0.013399596326053143,0.010562160052359104,0.016282496973872185,sig,0.2688679245283019
23,GSPC,2021,structure_weak,267,9240,9431,0.12975288927555084,0.15877148509025574,0.0023698034249964206,0.0029369273379413457,0.29890891909599304,0.44878852367401123,0.029018595814704895,0.020771972835063934,0.03696877509355545,sig,0.30711610486891383
