asset,seed,state,n,MSE_L,MSE_N,dMSE,ci_lo,ci_hi,sig,win_rate_N,MSPE_L_price,MSPE_N_price,P95_sqerr_L,P95_sqerr_N,params_L,params_N
GSPC,2021,acf1_hi,303,0.0814691036939621,0.10511651635169983,0.023647408932447433,0.018176211044192314,0.029214946553111076,sig,0.3234323432343234,0.0016950482710680142,0.002212700761904936,0.263771116733551,0.4442487061023712,9240,9431
GSPC,2021,acf1_lo,176,0.13412609696388245,0.15357787907123566,0.01945178210735321,0.010725906118750572,0.02793114259839058,sig,0.23295454545454544,0.0021786200758694293,0.002508363033961437,0.3047691881656647,0.4047010838985443,9240,9431
GSPC,2021,sign_persistence_hi,331,0.07521414756774902,0.09118946641683578,0.01597532443702221,0.01330718956887722,0.018844271078705788,sig,0.2628398791540785,0.0013659543589872201,0.0016836139991882506,0.1525433361530304,0.20339888334274292,9240,9431
GSPC,2021,sign_persistence_lo,148,0.15807737410068512,0.1938939243555069,0.035816535353660583,0.021546771749854088,0.049332454800605774,sig,0.35135135135135137,0.0030061207206882297,0.0037475945344803887,0.3279825448989868,0.47165775299072266,9240,9431
GSPC,2021,jump_ratio_hi,150,0.1515498161315918,0.17575126886367798,0.024201471358537674,0.01421493012458086,0.03410497307777405,sig,0.26,0.0025454574910096788,0.0029708310435444347,0.32146698236465454,0.40316808223724365,9240,9431
GSPC,2021,jump_ratio_lo,329,0.07768650352954865,0.09883683174848557,0.02115033194422722,0.016123881563544273,0.02654440887272358,sig,0.303951367781155,0.001566012570927587,0.002025214493321408,0.25344932079315186,0.4133429229259491,9240,9431
GSPC,2021,rv_rel_hi,288,0.12656961381435394,0.1528729498386383,0.02630334161221981,0.01866425760090351,0.03408174216747284,sig,0.3506944444444444,0.0023594324528350033,0.002889849815987912,0.28756341338157654,0.44848960638046265,9240,9431
GSPC,2021,rv_rel_lo,171,0.05506109446287155,0.06621316075325012,0.01115206629037857,0.008839961141347885,0.013771277852356434,sig,0.2222222222222222,0.0009178012788033485,0.0011181202701874592,0.13962049782276154,0.17773330211639404,9240,9431
GSPC,2021,structure_strong,212,0.06437409669160843,0.07777369022369385,0.013399596326053143,0.010562160052359104,0.016282496973872185,sig,0.2688679245283019,0.0012466945519461487,0.0015460406868116473,0.13138428330421448,0.1838456094264984,9240,9431
GSPC,2021,structure_weak,267,0.12975288927555084,0.15877148509025574,0.029018595814704895,0.020771972835063934,0.03696877509355545,sig,0.30711610486891383,0.0023698034249964206,0.0029369273379413457,0.29890891909599304,0.44878852367401123,9240,9431
GSPC,2021,kmeans_1,207,0.121002197265625,0.1425609439611435,0.02155875228345394,0.014302832074463367,0.029033301398158073,sig,0.2560386473429952,0.0020208130588237434,0.0023886353644355695,0.29890891909599304,0.3932569921016693,9240,9431
GSPC,2021,kmeans_2,264,0.08360065519809723,0.1076698899269104,0.024069232866168022,0.017917804419994354,0.030382363125681877,sig,0.3068181818181818,0.0017314832757901986,0.0022655863414463456,0.26383382081985474,0.44758278131484985,9240,9431
GSPC,2022,acf1_hi,303,0.08777941763401031,0.13966968655586243,0.05189027264714241,0.04855670407414436,0.055329568684101105,sig,0.04950495049504951,0.0018224976483844522,0.0028583469887593035,0.27328747510910034,0.3223758339881897,9240,9431
GSPC,2022,acf1_lo,176,0.1460934579372406,0.25279876589775085,0.10670533031225204,0.09551035612821579,0.11727441102266312,sig,0.09090909090909091,0.0023732155462408023,0.00394480991316198,0.3153443932533264,0.45886316895484924,9240,9431
GSPC,2022,sign_persistence_hi,331,0.08285533636808395,0.16504976153373718,0.08219441026449203,0.07649065554141998,0.08793000131845474,sig,0.03625377643504532,0.0015017520019769256,0.002877263209385282,0.17689833045005798,0.3181842565536499,9240,9431
GSPC,2022,sign_persistence_lo,148,0.16813845932483673,0.21743939816951752,0.04930095002055168,0.03950677439570427,0.05924031883478165,sig,0.12837837837837837,0.003194748722598026,0.00410805108110844,0.32504838705062866,0.4691378176212311,9240,9431
GSPC,2022,jump_ratio_hi,150,0.16035638749599457,0.2369871586561203,0.07663077116012573,0.06302369385957718,0.08956863731145859,sig,0.2,0.002695219656519176,0.00386534356464296,0.3219386041164398,0.46798187494277954,9240,9431
GSPC,2022,jump_ratio_lo,329,0.0858849585056305,0.15581892430782318,0.06993397325277328,0.06544123589992523,0.07448656111955643,sig,0.00303951367781155,0.0017192090429209537,0.0029804381386447825,0.2559594213962555,0.3334212601184845,9240,9431
GSPC,2022,rv_rel_hi,288,0.1366126537322998,0.2073596715927124,0.0707470178604126,0.06395138800144196,0.0775223895907402,sig,0.059027777777777776,0.002548546149985617,0.0038195399269396104,0.31199464201927185,0.42453330755233765,9240,9431
GSPC,2022,rv_rel_lo,171,0.06146078556776047,0.13524730503559113,0.07378652691841125,0.06501063704490662,0.08269195258617401,sig,0.08187134502923976,0.001019787168588662,0.0021114612901606154,0.13079538941383362,0.2734302878379822,9240,9431
GSPC,2022,structure_strong,212,0.07242084294557571,0.1540188193321228,0.08159796893596649,0.07551988959312439,0.08760121464729309,sig,0.0,0.0013893806781355377,0.002801265728366877,0.13326159119606018,0.2596146762371063,9240,9431
GSPC,2022,structure_weak,267,0.1384134441614151,0.20284835994243622,0.06443490833044052,0.05668186768889427,0.07235762476921082,sig,0.11610486891385768,0.0025294158046222327,0.0036198402542951293,0.3131954073905945,0.42843472957611084,9240,9431
GSPC,2022,kmeans_1,207,0.130757138133049,0.21324987709522247,0.08249270170927048,0.07259739935398102,0.09202396869659424,sig,0.13043478260869565,0.0021871766290651913,0.003438272091243314,0.3135213553905487,0.4451400339603424,9240,9431
GSPC,2022,kmeans_2,264,0.09171772003173828,0.15759962797164917,0.0658818930387497,0.060834359377622604,0.07091552764177322,sig,0.003787878787878788,0.0018857980437431544,0.0031363945436164295,0.2768787741661072,0.35025253891944885,9240,9431
GSPC,2023,acf1_hi,303,0.0861785039305687,0.1509702205657959,0.06479170173406601,0.06040080636739731,0.06929882615804672,sig,0.0462046204620462,0.0017856180826026427,0.003094647615335422,0.27040448784828186,0.334115594625473,9240,9431
GSPC,2023,acf1_lo,176,0.14164908230304718,0.2586824595928192,0.11703336983919144,0.10348542779684067,0.1301438808441162,sig,0.11363636363636363,0.0022858659446545852,0.004015804662782129,0.2743573486804962,0.4505930542945862,9240,9431
