asset,n_seeds,n,delta_high,ci_high,delta_low,ci_low,interaction,ci_lo,ci_hi,significant,sign_consistent,win_high,win_low,realized_vol,relative_vol,acf1_abs,jump_ratio,trend_persistence,sign_persistence,skew,kurtosis
GSPC,2,479,-0.017732628057372003,"[-0.025332671072992478, -0.011091638084117224]",-0.00046895096024373266,"[-0.0036291468024838556, 0.0038142765471269866]",-0.01726367709712827,-0.027193666305603045,-0.008764098612045818,True,True,0.8054393305439331,0.53125,0.007994719305746061,1.0464391967882118,0.07597711672459656,0.010526315789473684,1.0714388059375923,0.15789473684210525,-0.18005119283730767,1.7600576444320004
BTCUSD,1,707,0.0022776938081303794,"[-0.0034627773419053944, 0.007801604854024827]",-0.012744699835481559,"[-0.019381045246837203, -0.006206624246940053]",0.015022393643611938,0.006153787898959055,0.023780243850864025,True,True,0.35694050991501414,0.4943502824858757,0.025417784775734035,0.9834710556740079,0.08445910103313836,0.010526315789473684,0.8281015184043709,0.07368421052631578,0.23369623822072566,1.7397557625563604
ETHUSD,1,572,-0.007449589781869607,"[-0.011813927524330402, -0.0030892861841418317]",0.0019762813722552725,"[-0.00680053147147615, 0.010712273425986019]",-0.009425871154124878,-0.018805202456310913,0.0003324149237859017,False,True,0.5034965034965035,0.3916083916083916,0.03582814328058387,1.006372809169197,0.05334871011222473,0.010526315789473684,0.840478524623251,0.05263157894736842,0.37419265190057727,2.7275611716210997
USDJPY,1,497,-0.0072730646913966935,"[-0.019775888167825446, 0.004804397694380703]",0.00490290441238828,"[-0.0019368984371899089, 0.01203312991800626]",-0.012175969103784974,-0.026064690082676676,0.0022644059094307383,False,True,0.39919354838709675,0.4497991967871486,0.0061512825283309425,1.0168923514010677,0.07191761620234943,0.010526315789473684,0.7250770771390384,0.11578947368421053,-0.3828742909395298,1.4578341640909902
EURUSD,1,497,-0.1388771238784546,"[-0.16398955291310258, -0.11487471867658425]",-0.0017761171707016586,"[-0.010794232378263808, 0.00713144041281847]",-0.13710100670775294,-0.16421217068577926,-0.11060688663419799,True,True,0.7056451612903226,0.3493975903614458,0.004215291441457814,1.0222709384210127,0.06582183646848977,0.010526315789473684,0.6307970901909535,0.06315789473684211,0.018725962192959113,1.6852971097435554
SOX,1,479,0.020427126734390354,"[0.014345777267232592, 0.026198919090102177]",0.016033686531425763,"[0.008525331349599187, 0.02327337639332523]",0.0043934402029645915,-0.005270407373405668,0.014346695157988908,False,True,0.3514644351464435,0.375,0.021087550442845156,1.038695340994963,0.11447214850219654,0.010526315789473684,0.6780966707439025,0.09473684210526316,-0.14558693644660473,1.3219865456480835
DJI,1,479,-0.05270099304944324,"[-0.060174237576254154, -0.04502326505241841]",-0.044347860137630084,"[-0.05224035355859136, -0.03638505813949555]",-0.008353132911813159,-0.019385824487886037,0.0026559017646355103,False,True,0.8368200836820083,0.7625,0.007491080781868687,1.0654794182937959,0.07388753155655002,0.010526315789473684,0.9200317634132353,0.09473684210526316,0.04819459620121394,1.427108283484754
BABA,1,479,0.010807850883183978,"[-0.0016906805013703085, 0.02348248131125861]",-0.02963847881371123,"[-0.044639235254681144, -0.015980814261143245]",0.04044632969689521,0.02155404423058883,0.05985883310539803,True,True,0.32217573221757323,0.48333333333333334,0.025455813985103555,1.051698197158053,0.0821176730297631,0.010526315789473684,0.657197146472108,0.031578947368421054,0.19124976315823014,1.9688174663288405
NVO,1,479,0.15723179624510947,"[0.11293372769862585, 0.20370267888206692]",0.059655426856783586,"[0.0334911529696001, 0.08623184635993604]",0.09757636938832588,0.0463615380432636,0.14937401424447924,True,True,0.3054393305439331,0.3958333333333333,0.022039183154385175,1.106530506258432,0.15619446438504136,0.010526315789473684,1.0471367074615523,0.09473684210526316,-0.3830054846879182,4.217063512449318
TM,1,479,0.07178137314077476,"[0.05940869161136985, 0.08438770410220953]",0.07983184615731884,"[0.06616887506035092, 0.09406058313543186]",-0.008050473016544074,-0.02758666369586981,0.011293455671718603,False,True,0.1087866108786611,0.1875,0.017368447579228265,1.034227567031618,0.06884445859488723,0.010526315789473684,0.6575479036205095,0.05263157894736842,0.6916030444285526,3.6969309840267646
