tag,seed,n_samples,inter_q45_q12,ci_lo_q45,ci_hi_q45,sig_q45,inter_high50_low50,ci_lo_h50,ci_hi_h50,sig_h50,low_mse_delta,high_mse_delta
GSPC,2021,479,-0.01549929897858223,-0.019716863309278382,-0.011684106272373285,True,-0.012045310429642951,-0.015451116188249446,-0.008764098612045818,True,0.0004548599910745299,-0.0150444389875077
BTCUSD,2021,707,0.014776699830501193,0.004702363685582952,0.024841779131580328,True,0.015022393643611938,0.006153787898959055,0.023780243850864025,True,-0.013629217412302587,0.0011474824181986068
ETHUSD,2021,572,-0.008614859478754377,-0.019839134929832428,0.0030218761826608484,False,-0.009425871154124878,-0.018805202456310913,0.0003324149237859017,False,-0.0016188687663342821,-0.010233728245088659
