width,asset,seed,state,n,params_L,params_N,MSE_L,MSE_N,MSPE_L,MSPE_N,P95_L,P95_N,dMSE,ci_lo,ci_hi,sig,winN
64,BYD,2021,acf1_hi,414,9240,26200,0.3947361409664154,0.43140193819999695,0.2547387317270352,0.2832427222234738,2.3914074897766113,2.7043800354003906,0.03666592016816139,0.02508562244474888,0.04894706979393959,sig,0.49516908212560384
64,BYD,2021,acf1_lo,44,9240,26200,0.13879333436489105,0.1444057822227478,0.013222982139158117,0.01332317925029961,0.5570511221885681,0.5926579236984253,0.0056124296970665455,0.0009216576581820846,0.010712514631450176,sig,0.5
64,BYD,2021,sign_persistence_hi,185,9240,26200,0.424306184053421,0.5030999779701233,0.319352251185245,0.38249309089925165,2.6974966526031494,3.0025367736816406,0.0787937194108963,0.05659637600183487,0.10349617898464203,sig,0.4918918918918919
64,BYD,2021,sign_persistence_lo,273,9240,26200,0.3334468901157379,0.3365597128868103,0.17202739809467107,0.17248163029732516,1.1497105360031128,1.1972980499267578,0.0031128174159675837,-0.0032237351406365633,0.00934088509529829,ns,0.4981684981684982
64,BYD,2021,jump_ratio_hi,123,9240,26200,0.6167925596237183,0.620406985282898,0.3568456386182878,0.3513007379674223,4.288644790649414,4.222256183624268,0.0036143597681075335,-0.0071404678747057915,0.013873226009309292,ns,0.42276422764227645
64,BYD,2021,jump_ratio_lo,335,9240,26200,0.2795885503292084,0.32431116700172424,0.1855272614897496,0.22280213766429377,1.3690316677093506,1.8172335624694824,0.04472259432077408,0.031062113121151924,0.05917761102318764,sig,0.5223880597014925
64,BYD,2021,rv_rel_hi,358,9240,26200,0.2563948929309845,0.29931750893592834,0.14880169023749049,0.18180763458725963,0.9907211661338806,1.253700852394104,0.042922575026750565,0.030222026631236076,0.05590932443737984,sig,0.5027932960893855
64,BYD,2021,rv_rel_lo,80,9240,26200,0.9629510045051575,0.9629873037338257,0.6571155919321184,0.6567539814054648,4.806307792663574,4.661201000213623,3.638640191638842e-05,-0.01765594445168972,0.0177377350628376,ns,0.4875
64,BYD,2021,structure_strong,245,9240,26200,0.2275879830121994,0.2653912603855133,0.14222905074027611,0.17437641894716036,1.0298449993133545,1.5057321786880493,0.0378032810986042,0.022077077999711037,0.055337633937597275,sig,0.5387755102040817
64,BYD,2021,structure_weak,213,9240,26200,0.5341248512268066,0.5630676746368408,0.3342606982053891,0.35270649880505656,3.8429501056671143,3.920787811279297,0.028942883014678955,0.015979193150997162,0.042898744344711304,sig,0.4460093896713615
