width,asset,seed,state,n,params_L,params_N,MSE_L,MSE_N,MSPE_L,MSPE_N,P95_L,P95_N,dMSE,ci_lo,ci_hi,sig,winN
23,USDJPY,2021,acf1_hi,219,9240,9431,0.25261828303337097,0.44379922747612,0.0009502063472827239,0.0017872163134911466,0.8150738477706909,2.4363901615142822,0.1911809742450714,0.1010349690914154,0.28302109241485596,sig,0.6575342465753424
23,USDJPY,2021,acf1_lo,278,9240,9431,0.19883780181407928,0.5014901757240295,0.0007620115669888348,0.0019592530452911053,1.1467539072036743,1.9990770816802979,0.3026523292064667,0.24818892776966095,0.3595088720321655,sig,0.27697841726618705
23,USDJPY,2021,sign_persistence_hi,406,9240,9431,0.23923203349113464,0.4734479784965515,0.0009098454338268403,0.001871533108299655,0.9309589266777039,2.47509765625,0.23421593010425568,0.1785014569759369,0.29203441739082336,sig,0.43103448275862066
23,USDJPY,2021,sign_persistence_lo,91,9240,9431,0.14804509282112122,0.4877628684043884,0.000555353401583687,0.0019365964535805328,0.25938594341278076,1.400136947631836,0.3397177457809448,0.2281724065542221,0.4495682120323181,sig,0.5054945054945055
23,USDJPY,2021,jump_ratio_hi,240,9240,9431,0.27338388562202454,0.599335253238678,0.0010496205021859487,0.0023600943219672195,1.1578197479248047,2.5846362113952637,0.3259514272212982,0.24367427825927734,0.4095108211040497,sig,0.4375
23,USDJPY,2021,jump_ratio_lo,257,9240,9431,0.17505128681659698,0.36095649003982544,0.0006537956620746498,0.0014383271672115008,0.6679114103317261,1.4475810527801514,0.18590518832206726,0.12488486617803574,0.24643602967262268,sig,0.45136186770428016
23,USDJPY,2021,rv_rel_hi,260,9240,9431,0.2727905213832855,0.5482087135314941,0.001044125009361478,0.00219924175569907,1.1578197479248047,2.5846362113952637,0.275418221950531,0.19265711307525635,0.3614405691623688,sig,0.4423076923076923
23,USDJPY,2021,rv_rel_lo,217,9240,9431,0.15899886190891266,0.4206971228122711,0.0005921523434075858,0.0016273225014548454,0.3663284480571747,1.3662806749343872,0.26169827580451965,0.20386430621147156,0.32178688049316406,sig,0.4147465437788018
23,USDJPY,2021,structure_strong,247,9240,9431,0.18590454757213593,0.44663289189338684,0.0007104746542578905,0.0017591020568757671,0.9000406861305237,1.9649674892425537,0.2607283294200897,0.20309321582317352,0.3221018314361572,sig,0.32388663967611336
23,USDJPY,2021,structure_weak,250,9240,9431,0.2587275803089142,0.5051518678665161,0.000977788664304455,0.002006298044788696,0.8518415093421936,2.3385233879089355,0.24642431735992432,0.16509288549423218,0.33085766434669495,sig,0.564
23,USDJPY,2021,kmeans_0,155,9240,9431,0.3018244802951813,0.5439063310623169,0.0011418213112392769,0.0020909180685736474,1.3198686838150024,2.6954855918884277,0.24208182096481323,0.1687839776277542,0.3222884237766266,sig,0.3741935483870968
23,USDJPY,2021,kmeans_1,208,9240,9431,0.2159101814031601,0.5091089010238647,0.0008145538237148466,0.0020364557338237214,0.8168980479240417,2.405914068222046,0.29319873452186584,0.19730041921138763,0.3912249505519867,sig,0.5192307692307693
23,USDJPY,2021,kmeans_2,134,9240,9431,0.1411060094833374,0.3463146686553955,0.0005486933365898259,0.0014059524326958139,0.306177020072937,1.3689517974853516,0.2052086740732193,0.13286997377872467,0.2813756763935089,sig,0.41044776119402987
64,USDJPY,2021,acf1_hi,219,9240,26200,0.25261828303337097,0.35111525654792786,0.0009502063472827239,0.0013785310777096938,0.8150738477706909,1.4977869987487793,0.09849698096513748,0.05068966746330261,0.14902321994304657,sig,0.593607305936073
64,USDJPY,2021,acf1_lo,278,9240,26200,0.19883780181407928,0.331810861825943,0.0007620115669888348,0.0012891927173566435,1.1467539072036743,1.4842290878295898,0.1329730898141861,0.1062072366476059,0.16131456196308136,sig,0.28776978417266186
64,USDJPY,2021,sign_persistence_hi,406,9240,26200,0.23923203349113464,0.3439156711101532,0.0009098454338268403,0.0013417563676740949,0.9309589266777039,1.551201581954956,0.10468363761901855,0.07506279647350311,0.13546714186668396,sig,0.41625615763546797
64,USDJPY,2021,sign_persistence_lo,91,9240,26200,0.14804509282112122,0.3242626488208771,0.000555353401583687,0.0012696790787679914,0.25938594341278076,0.8658041954040527,0.17621757090091705,0.11907768994569778,0.2323969453573227,sig,0.45054945054945056
