width,params,mean_dMSE,states_pref_nonlin,states_total,mean_winN,frac_pref_nonlin
23,9431,0.20326543510639045,21,264,0.2740780404730134,0.08
64,26200,0.1276789330401119,63,264,0.3974343120044672,0.239
128,52376,0.06415201985846304,105,264,0.4978431318353993,0.398
